kernel,3
Const,180
ExpandDims,6
Add,168
bias,3
Mul,252
axis,90
Shape,1
unstack,1
zeros,6
split,84
Variable,1
input,1
BiasAdd,84
strided,1
Tanh,168
read,7
stack,3
concat,90
dim,6
Sigmoid,252
MatMul,84
output,1
